Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall, Area_Code, Prefix, Day_of_Week, Time
4342543001,2019-12-13 08:41:29,2019-10-12 00:00:00,,Virginia,757,No Subject Provided,N,434,254,5,0.00
7577944633,2019-12-13 08:45:18,2019-10-21 00:00:00,,Virginia,757,No Subject Provided,N,757,794,0,0.00
8153246496,2019-12-13 08:46:56,2019-10-22 00:00:00,,Virginia,757,No Subject Provided,N,815,324,1,0.00
7852845179,2019-12-13 08:48:20,2019-10-22 00:00:00,,Virginia,757,No Subject Provided,N,785,284,1,0.00
8333557887,2019-12-13 08:50:59,2019-10-26 00:00:00,,Virginia,757,No Subject Provided,N,833,355,5,0.00
7577944633,2019-12-13 08:52:50,2019-10-28 00:00:00,,Virginia,757,No Subject Provided,N,757,794,0,0.00
4342044365,2019-12-13 08:55:24,2019-10-22 00:00:00,,Virginia,757,No Subject Provided,N,434,204,1,0.00
6178265304,2019-12-13 08:56:39,2019-10-22 00:00:00,,Virginia,757,No Subject Provided,N,617,826,1,0.00
2763021705,2019-12-13 09:00:06,2019-10-22 00:00:00,,Virginia,757,No Subject Provided,Y,276,302,1,0.00
7724972492,2019-12-13 09:09:05,2019-12-13 09:06:00,HAYMARKET,Virginia,571,No Subject Provided,Y,772,497,4,9.10
8443892220,2019-12-13 09:14:38,2019-12-13 09:10:00,,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,844,389,4,9.17
2127520865,2019-12-13 09:15:24,2019-12-12 11:02:00,HAYMARKET,Virginia,571,Other,Y,212,752,3,11.03
8042078602,2019-12-13 09:24:28,2019-12-13 08:40:00,Suffolk,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,804,207,4,8.67
9842414505,2019-12-13 09:25:13,2019-12-12 16:16:00,Midlothian,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,984,241,3,16.27
7033157560,2019-12-13 09:27:38,2019-12-10 12:29:00,,Virginia,703,No Subject Provided,N,703,315,1,12.48
5409374677,2019-12-13 09:28:56,2019-12-13 09:27:00,,Virginia,571,Warranties  & protection plans,Y,540,937,4,9.45
9525690219,2019-12-13 09:30:05,2019-12-12 18:55:00,,Virginia,703,No Subject Provided,N,952,569,3,18.92
7035845694,2019-12-13 09:31:33,2019-12-13 09:27:00,McLean,Virginia,703,Medical  & prescriptions,Y,703,584,4,9.45
7579773957,2019-12-13 09:34:15,2019-12-13 09:27:00,,Virginia,757,Warranties  & protection plans,Y,757,977,4,9.45
7577218667,2019-12-13 09:35:31,2019-12-13 09:33:00,Hampton,Virginia,757,No Subject Provided,N,757,721,4,9.55
8553353482,2019-12-13 09:36:29,2019-12-13 08:58:00,Chesapeake,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,855,335,4,8.97
7034787796,2019-12-13 09:38:15,2019-12-13 09:02:00,Mclean,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,703,478,4,9.03
9862000924,2019-12-13 09:44:54,2019-12-13 09:41:00,Springfield,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y,986,200,4,9.68
