Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9252350201,2019-12-13 00:10:16,2019-12-12 10:42:00,Orinda,California,925,No Subject Provided,Y
8006698488,2019-12-13 00:10:30,2019-12-12 21:01:00,San Jose,California,408,"Reducing your debt (credit cards, mortgage, student loans)",Y
+13305736620,2019-12-13 00:06:52,2019-12-13 00:06:52,,Ohio,330,No Subject Provided,Y
9415384896,2019-12-13 00:08:29,2019-12-13 00:08:29,,Florida,727,No Subject Provided,Y
3237345122,2019-12-13 00:10:42,2019-12-12 16:13:00,,California,323,No Subject Provided,Y
8052103404,2019-12-13 00:10:44,2019-12-12 11:46:00,SAN LUIS OBISPO,California,805,No Subject Provided,Y
9792435383,2019-12-13 00:12:37,2019-12-10 11:20:00,,Texas,979,No Subject Provided,N
8052103404,2019-12-13 00:11:27,2019-12-11 19:58:00,SAN LUIS OBISPO,California,805,No Subject Provided,Y
8881035819,2019-12-13 00:11:35,2019-12-12 10:15:00,Cumming,Georgia,786,"Calls pretending to be government, businesses, or family and friends",Y
8882752532,2019-12-13 00:11:37,2019-12-05 13:10:00,Bellerose,New York,718,Dropped call or no message,N
8052103404,2019-12-13 00:12:00,2019-12-11 19:18:00,SAN LUIS OBISPO,California,805,No Subject Provided,Y
3234739941,2019-12-13 00:12:24,2019-12-12 14:12:00,,California,323,No Subject Provided,Y
2124686000,2019-12-13 00:12:38,2019-12-05 12:58:00,Bellerose,New York,718,Dropped call or no message,N
2124686000,2019-12-13 00:13:32,2019-12-04 18:05:00,Bellerose,New York,718,Dropped call or no message,N
4026706451,2019-12-13 00:13:39,2019-12-12 10:47:00,,Nebraska,402,Other,Y
8382034149,2019-12-13 00:14:21,2019-12-11 01:53:00,Arroyo Grande,California,805,"Calls pretending to be government, businesses, or family and friends",Y
7185293659,2019-12-13 00:14:29,2019-12-04 14:00:00,Bellerose,New York,718,Dropped call or no message,N
9169107056,2019-12-13 00:14:35,2019-12-12 13:47:00,,California,916,Other,Y
8882256105,2019-12-13 00:15:17,2019-12-04 13:15:00,Bellerose,New York,718,Dropped call or no message,N
8882256105,2019-12-13 00:15:21,2019-12-04 13:15:00,Bellerose,New York,718,Dropped call or no message,N
8882256105,2019-12-13 00:15:22,2019-12-04 13:15:00,Bellerose,New York,718,Dropped call or no message,N
3612730027,2019-12-13 00:16:02,2019-12-10 06:02:00,,California,650,Other,Y
3462992702,2019-12-13 00:18:22,2019-12-10 13:02:00,,Texas,979,No Subject Provided,N
3053441653,2019-12-13 00:17:13,2019-12-12 13:51:00,Houston,Texas,713,"Calls pretending to be government, businesses, or family and friends",N
2122625908,2019-12-13 00:18:04,2019-12-11 13:03:00,,New York,212,No Subject Provided,N
6037804646,2019-12-13 00:21:21,2019-12-12 16:29:00,Newbury,New Hampshire,603,"Calls pretending to be government, businesses, or family and friends",Y
6032804325,2019-12-13 00:23:00,2019-12-12 18:38:00,Newbury,New Hampshire,603,"Calls pretending to be government, businesses, or family and friends",N
3479065714,2019-12-13 00:23:22,2019-12-12 16:11:00,,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
9726450979,2019-12-13 00:23:35,2019-12-11 10:19:00,Arroyo Grande,California,805,Other,N
9143449981,2019-12-13 00:25:24,2019-12-12 00:00:00,,New York,914,Computer  & technical support,N
6473751669,2019-12-13 00:25:35,2019-12-12 08:01:00,,Delaware,302,No Subject Provided,Y
3107526218,2019-12-13 00:25:53,2019-12-12 18:45:00,,California,310,No Subject Provided,Y
3365067152,2019-12-13 00:26:55,2019-12-12 14:05:00,Houston,Texas,713,"Calls pretending to be government, businesses, or family and friends",N
8002817537,2019-12-13 00:27:05,2019-12-13 10:20:00,Houston,Texas,713,Dropped call or no message,Y
8058015744,2019-12-13 00:30:24,2019-12-09 09:29:00,Arroyo Grande,California,805,"Reducing your debt (credit cards, mortgage, student loans)",Y
2121840686,2019-12-13 00:30:39,2019-12-12 14:42:00,Rochester,New York,585,No Subject Provided,Y
7252131351,2019-12-13 00:30:45,2019-12-11 10:50:00,Aspen,Colorado,970,Other,Y
8345594320,2019-12-13 00:31:26,2019-12-12 04:04:00,Sandpoint,Idaho,208,No Subject Provided,Y
8345594320,2019-12-13 00:31:27,2019-12-12 04:04:00,Sandpoint,Idaho,208,No Subject Provided,Y
5855422800,2019-12-13 00:32:12,2019-12-12 18:24:00,Rochester,New York,585,Dropped call or no message,Y
9706391235,2019-12-13 00:32:28,2019-12-11 13:22:00,Aspen,Colorado,970,No Subject Provided,Y
8003594231,2019-12-13 00:33:38,2019-12-11 14:34:00,Aspen,Colorado,970,No Subject Provided,Y
